user_id,timestamp,funnel_stage,lifecycle_segment
USR_1648,2025-03-03 00:00:00,onboarding_start,new
USR_1683,2025-01-24 00:00:00,feature_usage,active
USR_1607,2025-03-29 00:00:00,pricing_view,active
USR_1496,2025-02-27 00:00:00,feature_usage,active
USR_1385,2025-01-03 00:00:00,onboarding_start,active
USR_1080,2025-02-28 00:00:00,pricing_view,active
USR_1565,2025-03-28 00:00:00,onboarding_start,churned
USR_1402,2025-01-02 00:00:00,onboarding_complete,active
USR_1709,2025-02-01 00:00:00,onboarding_complete,new
USR_1183,2025-01-17 00:00:00,pricing_view,active
USR_1609,2025-03-11 00:00:00,onboarding_complete,at-risk
USR_1143,2025-03-14 00:00:00,onboarding_start,new
USR_1348,2025-01-03 00:00:00,onboarding_complete,active
USR_1402,2025-03-31 00:00:00,onboarding_complete,active
USR_1710,2025-02-21 00:00:00,feature_usage,active
USR_1550,2025-03-23 00:00:00,payment_success,active
USR_1472,2025-02-19 00:00:00,feature_usage,at-risk
USR_1610,2025-01-07 00:00:00,pricing_view,at-risk
USR_1571,2025-01-02 00:00:00,feature_usage,churned
USR_1452,2025-02-06 00:00:00,feature_usage,new
USR_1232,2025-01-19 00:00:00,pricing_view,at-risk
USR_1151,2025-02-23 00:00:00,pricing_view,active
USR_1586,2025-03-13 00:00:00,payment_success,active
USR_1253,2025-03-30 00:00:00,pricing_view,new
USR_1337,2025-03-07 00:00:00,pricing_view,active
USR_1680,2025-02-02 00:00:00,onboarding_start,active
USR_1503,2025-01-08 00:00:00,payment_success,active
USR_1032,2025-02-17 00:00:00,onboarding_start,active
USR_1374,2025-01-22 00:00:00,onboarding_start,churned
USR_1364,2025-02-20 00:00:00,feature_usage,active
USR_1225,2025-01-21 00:00:00,onboarding_complete,active
USR_1480,2025-03-10 00:00:00,onboarding_start,active
USR_1515,2025-02-04 00:00:00,pricing_view,new
USR_1171,2025-01-30 00:00:00,feature_usage,churned
USR_1098,2025-02-06 00:00:00,feature_usage,active
USR_1180,2025-03-01 00:00:00,payment_success,active
USR_1160,2025-03-08 00:00:00,onboarding_start,active
USR_1734,2025-02-23 00:00:00,pricing_view,active
USR_1791,2025-02-01 00:00:00,pricing_view,active
USR_1638,2025-01-27 00:00:00,onboarding_start,active
USR_1103,2025-02-02 00:00:00,onboarding_start,at-risk
USR_1038,2025-02-11 00:00:00,payment_success,at-risk
USR_1407,2025-01-13 00:00:00,onboarding_start,new
USR_1035,2025-02-14 00:00:00,onboarding_start,new
USR_1399,2025-01-14 00:00:00,feature_usage,active
USR_1091,2025-03-07 00:00:00,onboarding_complete,active
USR_1050,2025-01-25 00:00:00,onboarding_start,churned
USR_1149,2025-02-27 00:00:00,payment_success,active
USR_1681,2025-03-11 00:00:00,onboarding_start,active
USR_1612,2025-01-08 00:00:00,pricing_view,active
USR_1004,2025-03-09 00:00:00,payment_success,new
USR_1349,2025-02-16 00:00:00,pricing_view,new
USR_1655,2025-01-13 00:00:00,feature_usage,at-risk
USR_1658,2025-01-17 00:00:00,onboarding_complete,active
USR_1057,2025-02-24 00:00:00,onboarding_start,new
USR_1790,2025-01-09 00:00:00,pricing_view,new
USR_1633,2025-01-01 00:00:00,onboarding_complete,active
USR_1117,2025-02-17 00:00:00,onboarding_start,churned
USR_1271,2025-03-02 00:00:00,pricing_view,active
USR_1789,2025-03-08 00:00:00,onboarding_start,active
USR_1085,2025-02-26 00:00:00,onboarding_start,new
USR_1046,2025-03-03 00:00:00,pricing_view,active
USR_1217,2025-03-31 00:00:00,onboarding_complete,active
USR_1288,2025-01-23 00:00:00,onboarding_start,churned
USR_1099,2025-02-03 00:00:00,onboarding_start,new
USR_1658,2025-02-27 00:00:00,onboarding_complete,active
USR_1515,2025-01-16 00:00:00,onboarding_start,active
USR_1496,2025-02-01 00:00:00,feature_usage,active
USR_1689,2025-02-04 00:00:00,pricing_view,active
USR_1690,2025-02-12 00:00:00,feature_usage,active
USR_1416,2025-02-09 00:00:00,feature_usage,new
USR_1396,2025-01-12 00:00:00,onboarding_start,new
USR_1498,2025-02-04 00:00:00,onboarding_start,active
USR_1604,2025-01-26 00:00:00,pricing_view,active
USR_1114,2025-01-07 00:00:00,onboarding_start,active
USR_1492,2025-03-16 00:00:00,payment_success,at-risk
USR_1276,2025-02-05 00:00:00,onboarding_start,at-risk
USR_1191,2025-02-18 00:00:00,pricing_view,new
USR_1095,2025-01-24 00:00:00,payment_success,active
USR_1779,2025-02-24 00:00:00,pricing_view,at-risk
USR_1797,2025-01-17 00:00:00,onboarding_complete,active
USR_1728,2025-03-27 00:00:00,onboarding_start,new
USR_1611,2025-01-12 00:00:00,feature_usage,at-risk
USR_1264,2025-03-12 00:00:00,feature_usage,active
USR_1563,2025-03-24 00:00:00,onboarding_complete,new
USR_1068,2025-01-12 00:00:00,onboarding_start,active
USR_1483,2025-02-22 00:00:00,payment_success,at-risk
USR_1108,2025-02-22 00:00:00,onboarding_complete,new
USR_1222,2025-01-05 00:00:00,pricing_view,active
USR_1657,2025-03-17 00:00:00,pricing_view,at-risk
USR_1252,2025-01-07 00:00:00,onboarding_complete,active
USR_1392,2025-02-19 00:00:00,feature_usage,new
USR_1028,2025-02-06 00:00:00,onboarding_start,active
USR_1364,2025-03-06 00:00:00,feature_usage,active
USR_1326,2025-03-30 00:00:00,onboarding_complete,active
USR_1251,2025-01-31 00:00:00,onboarding_complete,active
USR_1166,2025-03-15 00:00:00,feature_usage,new
USR_1450,2025-02-14 00:00:00,onboarding_start,active
USR_1057,2025-01-20 00:00:00,onboarding_start,new
USR_1360,2025-02-08 00:00:00,pricing_view,active
USR_1189,2025-03-04 00:00:00,onboarding_complete,new
USR_1116,2025-01-06 00:00:00,payment_success,churned
USR_1172,2025-03-02 00:00:00,onboarding_start,new
USR_1212,2025-03-16 00:00:00,feature_usage,active
USR_1658,2025-01-20 00:00:00,onboarding_start,new
USR_1304,2025-01-14 00:00:00,onboarding_start,churned
USR_1565,2025-01-03 00:00:00,feature_usage,new
USR_1011,2025-03-15 00:00:00,feature_usage,at-risk
USR_1407,2025-01-28 00:00:00,onboarding_start,new
USR_1675,2025-03-31 00:00:00,onboarding_complete,active
USR_1539,2025-02-10 00:00:00,onboarding_start,active
USR_1144,2025-03-14 00:00:00,onboarding_start,at-risk
USR_1731,2025-01-29 00:00:00,onboarding_start,new
USR_1389,2025-03-23 00:00:00,onboarding_complete,active
USR_1449,2025-01-10 00:00:00,feature_usage,at-risk
USR_1004,2025-02-02 00:00:00,pricing_view,active
USR_1238,2025-02-18 00:00:00,onboarding_complete,at-risk
USR_1216,2025-03-27 00:00:00,payment_success,active
USR_1609,2025-01-01 00:00:00,onboarding_start,new
USR_1475,2025-03-22 00:00:00,onboarding_complete,at-risk
USR_1770,2025-02-22 00:00:00,onboarding_complete,at-risk
USR_1713,2025-03-15 00:00:00,onboarding_complete,active
USR_1456,2025-01-01 00:00:00,feature_usage,active
USR_1445,2025-03-06 00:00:00,pricing_view,active
USR_1347,2025-03-13 00:00:00,onboarding_start,active
USR_1437,2025-01-03 00:00:00,onboarding_complete,at-risk
USR_1053,2025-01-05 00:00:00,onboarding_start,at-risk
USR_1400,2025-02-16 00:00:00,onboarding_complete,at-risk
USR_1577,2025-03-16 00:00:00,onboarding_start,new
USR_1763,2025-02-07 00:00:00,pricing_view,active
USR_1334,2025-02-20 00:00:00,feature_usage,active
USR_1165,2025-03-29 00:00:00,feature_usage,active
USR_1105,2025-02-20 00:00:00,pricing_view,at-risk
USR_1137,2025-02-25 00:00:00,payment_success,at-risk
USR_1068,2025-02-03 00:00:00,pricing_view,active
USR_1125,2025-02-12 00:00:00,onboarding_start,new
USR_1760,2025-01-23 00:00:00,onboarding_start,new
USR_1373,2025-01-16 00:00:00,pricing_view,new
USR_1695,2025-01-25 00:00:00,feature_usage,active
USR_1092,2025-02-01 00:00:00,onboarding_start,new
USR_1402,2025-01-21 00:00:00,onboarding_start,active
USR_1533,2025-01-21 00:00:00,onboarding_complete,active
USR_1523,2025-03-31 00:00:00,feature_usage,new
USR_1729,2025-02-14 00:00:00,onboarding_start,new
USR_1046,2025-03-27 00:00:00,onboarding_start,at-risk
USR_1047,2025-03-02 00:00:00,onboarding_start,at-risk
USR_1007,2025-02-21 00:00:00,onboarding_start,active
USR_1725,2025-01-14 00:00:00,pricing_view,active
USR_1215,2025-01-02 00:00:00,pricing_view,new
USR_1311,2025-01-07 00:00:00,pricing_view,at-risk
USR_1362,2025-01-18 00:00:00,onboarding_complete,active
USR_1014,2025-03-05 00:00:00,onboarding_start,active
USR_1713,2025-02-08 00:00:00,onboarding_start,active
USR_1473,2025-02-13 00:00:00,onboarding_start,active
USR_1024,2025-03-09 00:00:00,onboarding_complete,active
USR_1145,2025-03-27 00:00:00,onboarding_complete,at-risk
USR_1368,2025-03-24 00:00:00,onboarding_complete,active
USR_1691,2025-01-26 00:00:00,pricing_view,active
USR_1314,2025-03-11 00:00:00,pricing_view,active
USR_1661,2025-01-21 00:00:00,onboarding_start,active
USR_1515,2025-03-16 00:00:00,onboarding_start,at-risk
USR_1663,2025-02-24 00:00:00,payment_success,new
USR_1542,2025-02-09 00:00:00,pricing_view,churned
USR_1005,2025-03-07 00:00:00,onboarding_complete,churned
USR_1645,2025-02-20 00:00:00,payment_success,at-risk
USR_1714,2025-01-08 00:00:00,onboarding_complete,at-risk
USR_1644,2025-03-11 00:00:00,feature_usage,at-risk
USR_1723,2025-01-20 00:00:00,onboarding_start,new
USR_1089,2025-01-14 00:00:00,onboarding_start,active
USR_1138,2025-03-18 00:00:00,onboarding_complete,new
USR_1689,2025-01-10 00:00:00,onboarding_complete,active
USR_1012,2025-02-09 00:00:00,payment_success,active
USR_1612,2025-03-14 00:00:00,pricing_view,active
USR_1549,2025-02-04 00:00:00,onboarding_start,churned
USR_1317,2025-03-01 00:00:00,feature_usage,new
USR_1375,2025-03-16 00:00:00,feature_usage,new
USR_1546,2025-01-01 00:00:00,pricing_view,active
USR_1348,2025-03-13 00:00:00,payment_success,at-risk
USR_1797,2025-02-04 00:00:00,onboarding_start,at-risk
USR_1378,2025-03-19 00:00:00,onboarding_complete,active
USR_1748,2025-02-11 00:00:00,onboarding_complete,at-risk
USR_1294,2025-01-14 00:00:00,feature_usage,active
USR_1022,2025-03-04 00:00:00,onboarding_complete,active
USR_1224,2025-03-07 00:00:00,onboarding_complete,churned
USR_1038,2025-02-20 00:00:00,onboarding_complete,active
USR_1178,2025-03-13 00:00:00,pricing_view,new
USR_1622,2025-01-29 00:00:00,onboarding_complete,at-risk
USR_1419,2025-01-29 00:00:00,onboarding_start,active
USR_1410,2025-02-24 00:00:00,onboarding_start,active
USR_1521,2025-01-05 00:00:00,payment_success,active
USR_1158,2025-02-16 00:00:00,payment_success,new
USR_1695,2025-01-15 00:00:00,payment_success,new
USR_1046,2025-03-09 00:00:00,pricing_view,at-risk
USR_1094,2025-02-05 00:00:00,onboarding_complete,active
USR_1068,2025-01-20 00:00:00,onboarding_start,churned
USR_1549,2025-01-06 00:00:00,onboarding_complete,active
USR_1301,2025-01-12 00:00:00,feature_usage,new
USR_1209,2025-03-30 00:00:00,onboarding_start,at-risk
USR_1682,2025-03-17 00:00:00,onboarding_start,churned
USR_1132,2025-02-06 00:00:00,pricing_view,new
USR_1603,2025-01-31 00:00:00,pricing_view,active
USR_1028,2025-03-19 00:00:00,feature_usage,churned
USR_1406,2025-01-01 00:00:00,onboarding_start,churned
USR_1621,2025-02-05 00:00:00,onboarding_start,churned
USR_1566,2025-02-09 00:00:00,pricing_view,active
USR_1308,2025-01-09 00:00:00,onboarding_start,at-risk
USR_1665,2025-02-10 00:00:00,onboarding_start,active
USR_1601,2025-03-16 00:00:00,feature_usage,active
USR_1474,2025-02-03 00:00:00,feature_usage,active
USR_1762,2025-02-20 00:00:00,onboarding_start,active
USR_1179,2025-03-11 00:00:00,onboarding_start,active
USR_1284,2025-03-04 00:00:00,onboarding_start,active
USR_1468,2025-02-18 00:00:00,onboarding_start,churned
USR_1688,2025-01-20 00:00:00,onboarding_complete,new
USR_1700,2025-02-18 00:00:00,onboarding_start,active
USR_1214,2025-02-20 00:00:00,onboarding_start,at-risk
USR_1031,2025-01-30 00:00:00,onboarding_start,new
USR_1285,2025-01-16 00:00:00,onboarding_complete,new
USR_1589,2025-02-16 00:00:00,onboarding_complete,active
USR_1112,2025-02-07 00:00:00,pricing_view,new
USR_1263,2025-01-29 00:00:00,onboarding_start,at-risk
USR_1777,2025-03-15 00:00:00,feature_usage,active
USR_1086,2025-02-24 00:00:00,onboarding_start,at-risk
USR_1348,2025-01-08 00:00:00,onboarding_start,active
USR_1442,2025-03-13 00:00:00,onboarding_start,at-risk
USR_1578,2025-02-20 00:00:00,pricing_view,active
USR_1417,2025-02-04 00:00:00,onboarding_start,at-risk
USR_1119,2025-02-15 00:00:00,payment_success,active
USR_1164,2025-02-23 00:00:00,onboarding_start,active
USR_1006,2025-03-15 00:00:00,onboarding_start,active
USR_1146,2025-01-19 00:00:00,onboarding_complete,active
USR_1513,2025-01-01 00:00:00,payment_success,active
USR_1745,2025-01-02 00:00:00,onboarding_complete,new
USR_1531,2025-01-05 00:00:00,onboarding_start,at-risk
USR_1225,2025-02-22 00:00:00,onboarding_start,churned
USR_1363,2025-01-24 00:00:00,onboarding_start,active
USR_1058,2025-03-28 00:00:00,payment_success,active
USR_1114,2025-03-22 00:00:00,onboarding_start,active
USR_1236,2025-01-25 00:00:00,onboarding_start,new
USR_1234,2025-01-04 00:00:00,onboarding_start,churned
USR_1609,2025-03-28 00:00:00,pricing_view,at-risk
USR_1127,2025-03-26 00:00:00,payment_success,active
USR_1033,2025-01-17 00:00:00,onboarding_complete,active
USR_1587,2025-03-28 00:00:00,onboarding_start,new
USR_1026,2025-02-26 00:00:00,onboarding_start,at-risk
USR_1609,2025-01-12 00:00:00,pricing_view,active
USR_1684,2025-01-17 00:00:00,onboarding_complete,active
USR_1633,2025-02-15 00:00:00,onboarding_start,new
USR_1362,2025-03-06 00:00:00,onboarding_start,active
USR_1793,2025-01-29 00:00:00,onboarding_complete,active
USR_1511,2025-02-05 00:00:00,pricing_view,active
USR_1226,2025-02-23 00:00:00,onboarding_complete,active
USR_1757,2025-01-22 00:00:00,pricing_view,active
USR_1547,2025-01-20 00:00:00,onboarding_start,at-risk
USR_1506,2025-03-14 00:00:00,pricing_view,new
USR_1712,2025-02-09 00:00:00,pricing_view,active
USR_1615,2025-02-11 00:00:00,onboarding_complete,new
USR_1497,2025-02-13 00:00:00,feature_usage,new
USR_1523,2025-01-19 00:00:00,onboarding_start,at-risk
USR_1016,2025-03-15 00:00:00,pricing_view,active
USR_1011,2025-03-03 00:00:00,feature_usage,at-risk
USR_1660,2025-03-22 00:00:00,pricing_view,active
USR_1709,2025-03-13 00:00:00,onboarding_start,active
USR_1654,2025-02-28 00:00:00,feature_usage,churned
USR_1046,2025-02-01 00:00:00,pricing_view,churned
USR_1793,2025-03-26 00:00:00,onboarding_complete,active
USR_1334,2025-01-07 00:00:00,onboarding_start,churned
USR_1497,2025-02-28 00:00:00,feature_usage,active
USR_1371,2025-02-08 00:00:00,onboarding_complete,active
USR_1614,2025-01-17 00:00:00,pricing_view,active
USR_1619,2025-03-01 00:00:00,onboarding_complete,at-risk
USR_1170,2025-02-09 00:00:00,onboarding_complete,active
USR_1038,2025-01-15 00:00:00,payment_success,active
USR_1396,2025-03-23 00:00:00,onboarding_complete,active
USR_1107,2025-03-07 00:00:00,onboarding_start,at-risk
USR_1413,2025-01-13 00:00:00,onboarding_complete,churned
USR_1738,2025-02-08 00:00:00,onboarding_start,new
USR_1476,2025-03-03 00:00:00,onboarding_complete,active
USR_1439,2025-01-10 00:00:00,onboarding_start,active
USR_1339,2025-01-05 00:00:00,pricing_view,new
USR_1428,2025-01-14 00:00:00,onboarding_start,at-risk
USR_1145,2025-03-03 00:00:00,onboarding_complete,active
USR_1584,2025-01-15 00:00:00,onboarding_complete,active
USR_1139,2025-02-28 00:00:00,feature_usage,at-risk
USR_1379,2025-03-11 00:00:00,feature_usage,at-risk
USR_1343,2025-01-11 00:00:00,feature_usage,churned
USR_1710,2025-02-21 00:00:00,onboarding_start,active
USR_1574,2025-02-23 00:00:00,pricing_view,active
USR_1329,2025-02-26 00:00:00,onboarding_start,new
USR_1258,2025-01-06 00:00:00,payment_success,active
USR_1726,2025-02-18 00:00:00,onboarding_complete,active
USR_1752,2025-03-02 00:00:00,onboarding_start,active
USR_1061,2025-01-17 00:00:00,onboarding_start,at-risk
USR_1780,2025-03-30 00:00:00,onboarding_complete,active
USR_1609,2025-01-11 00:00:00,payment_success,active
USR_1540,2025-01-09 00:00:00,onboarding_start,at-risk
USR_1169,2025-01-09 00:00:00,onboarding_start,churned
USR_1394,2025-02-28 00:00:00,onboarding_start,active
USR_1037,2025-03-13 00:00:00,pricing_view,new
USR_1453,2025-02-06 00:00:00,onboarding_start,active
USR_1592,2025-02-09 00:00:00,feature_usage,active
USR_1114,2025-02-27 00:00:00,onboarding_complete,active
USR_1039,2025-03-18 00:00:00,onboarding_start,at-risk
USR_1146,2025-03-21 00:00:00,pricing_view,at-risk
USR_1570,2025-02-17 00:00:00,pricing_view,at-risk
USR_1344,2025-02-22 00:00:00,pricing_view,active
USR_1421,2025-03-01 00:00:00,onboarding_start,at-risk
USR_1760,2025-01-31 00:00:00,payment_success,new
USR_1362,2025-02-22 00:00:00,pricing_view,new
USR_1355,2025-01-02 00:00:00,payment_success,active
USR_1294,2025-03-07 00:00:00,onboarding_start,active
USR_1112,2025-01-17 00:00:00,onboarding_start,active
USR_1447,2025-03-29 00:00:00,payment_success,new
USR_1466,2025-01-30 00:00:00,onboarding_start,active
USR_1411,2025-03-01 00:00:00,onboarding_start,at-risk
USR_1277,2025-03-09 00:00:00,onboarding_start,at-risk
USR_1323,2025-03-05 00:00:00,pricing_view,new
USR_1704,2025-01-22 00:00:00,pricing_view,new
USR_1305,2025-01-14 00:00:00,feature_usage,churned
USR_1675,2025-02-21 00:00:00,pricing_view,new
USR_1032,2025-01-06 00:00:00,onboarding_complete,at-risk
USR_1458,2025-02-27 00:00:00,onboarding_start,new
USR_1737,2025-01-29 00:00:00,feature_usage,new
USR_1488,2025-02-08 00:00:00,onboarding_complete,at-risk
USR_1074,2025-02-01 00:00:00,onboarding_start,active
USR_1021,2025-03-16 00:00:00,onboarding_start,churned
USR_1747,2025-02-25 00:00:00,onboarding_complete,churned
USR_1083,2025-01-06 00:00:00,pricing_view,active
USR_1506,2025-01-01 00:00:00,onboarding_start,at-risk
USR_1161,2025-03-02 00:00:00,onboarding_start,at-risk
USR_1791,2025-01-12 00:00:00,onboarding_complete,active
USR_1538,2025-03-13 00:00:00,onboarding_start,active
USR_1604,2025-02-22 00:00:00,onboarding_start,active
USR_1561,2025-03-12 00:00:00,pricing_view,new
USR_1692,2025-01-24 00:00:00,feature_usage,active
USR_1557,2025-01-15 00:00:00,onboarding_complete,new
USR_1272,2025-03-25 00:00:00,onboarding_complete,active
USR_1725,2025-01-02 00:00:00,payment_success,active
USR_1716,2025-03-22 00:00:00,onboarding_start,new
USR_1319,2025-03-23 00:00:00,onboarding_complete,active
USR_1543,2025-01-11 00:00:00,pricing_view,at-risk
USR_1101,2025-02-10 00:00:00,onboarding_start,active
USR_1087,2025-02-10 00:00:00,onboarding_start,churned
USR_1671,2025-03-20 00:00:00,onboarding_complete,active
USR_1659,2025-02-02 00:00:00,onboarding_complete,new
USR_1001,2025-02-02 00:00:00,feature_usage,new
USR_1588,2025-01-26 00:00:00,onboarding_complete,new
USR_1089,2025-02-15 00:00:00,pricing_view,at-risk
USR_1105,2025-02-13 00:00:00,onboarding_start,active
USR_1634,2025-01-06 00:00:00,onboarding_complete,active
USR_1222,2025-02-01 00:00:00,onboarding_start,churned
USR_1689,2025-03-03 00:00:00,payment_success,active
USR_1382,2025-01-07 00:00:00,pricing_view,active
USR_1389,2025-02-27 00:00:00,payment_success,active
USR_1126,2025-02-10 00:00:00,onboarding_start,active
USR_1011,2025-03-28 00:00:00,pricing_view,active
USR_1242,2025-01-19 00:00:00,feature_usage,active
USR_1732,2025-02-22 00:00:00,pricing_view,active
USR_1593,2025-03-11 00:00:00,pricing_view,active
USR_1351,2025-02-25 00:00:00,feature_usage,active
USR_1713,2025-02-04 00:00:00,onboarding_start,active
USR_1206,2025-01-07 00:00:00,onboarding_complete,at-risk
USR_1158,2025-02-27 00:00:00,pricing_view,active
USR_1515,2025-01-20 00:00:00,onboarding_complete,active
USR_1607,2025-02-05 00:00:00,onboarding_start,active
USR_1739,2025-03-07 00:00:00,onboarding_complete,at-risk
USR_1294,2025-02-11 00:00:00,feature_usage,active
USR_1636,2025-01-12 00:00:00,onboarding_complete,active
USR_1020,2025-01-15 00:00:00,onboarding_start,at-risk
USR_1099,2025-03-28 00:00:00,pricing_view,active
USR_1001,2025-02-06 00:00:00,payment_success,active
USR_1317,2025-03-01 00:00:00,onboarding_complete,active
USR_1230,2025-03-30 00:00:00,pricing_view,new
USR_1144,2025-03-30 00:00:00,feature_usage,active
USR_1228,2025-01-05 00:00:00,onboarding_start,at-risk
USR_1675,2025-02-14 00:00:00,onboarding_start,active
USR_1009,2025-03-08 00:00:00,onboarding_complete,active
USR_1604,2025-01-10 00:00:00,pricing_view,new
USR_1132,2025-01-20 00:00:00,onboarding_complete,churned
USR_1312,2025-03-05 00:00:00,onboarding_complete,active
USR_1106,2025-02-06 00:00:00,onboarding_complete,active
USR_1304,2025-02-13 00:00:00,onboarding_complete,at-risk
USR_1619,2025-03-02 00:00:00,onboarding_start,churned
USR_1510,2025-02-06 00:00:00,feature_usage,new
USR_1118,2025-02-04 00:00:00,onboarding_complete,churned
USR_1160,2025-02-20 00:00:00,onboarding_start,new
USR_1692,2025-03-29 00:00:00,pricing_view,new
USR_1216,2025-02-19 00:00:00,feature_usage,active
USR_1183,2025-02-12 00:00:00,onboarding_complete,active
USR_1150,2025-02-14 00:00:00,onboarding_start,churned
USR_1374,2025-01-08 00:00:00,feature_usage,new
USR_1775,2025-01-29 00:00:00,onboarding_complete,at-risk
USR_1085,2025-02-16 00:00:00,pricing_view,at-risk
USR_1217,2025-02-12 00:00:00,pricing_view,active
USR_1144,2025-01-26 00:00:00,payment_success,active
USR_1587,2025-03-13 00:00:00,payment_success,churned
USR_1000,2025-01-19 00:00:00,feature_usage,at-risk
USR_1303,2025-03-10 00:00:00,onboarding_complete,active
USR_1703,2025-03-11 00:00:00,onboarding_start,at-risk
USR_1088,2025-02-17 00:00:00,pricing_view,new
USR_1158,2025-03-16 00:00:00,payment_success,active
USR_1493,2025-01-04 00:00:00,pricing_view,at-risk
USR_1593,2025-01-13 00:00:00,payment_success,active
USR_1330,2025-01-01 00:00:00,onboarding_start,active
USR_1600,2025-03-26 00:00:00,onboarding_start,active
USR_1710,2025-01-15 00:00:00,pricing_view,active
USR_1472,2025-02-02 00:00:00,onboarding_start,active
USR_1101,2025-03-31 00:00:00,onboarding_complete,new
USR_1776,2025-01-03 00:00:00,onboarding_complete,churned
USR_1449,2025-03-11 00:00:00,feature_usage,at-risk
USR_1664,2025-01-12 00:00:00,onboarding_start,active
USR_1299,2025-01-15 00:00:00,onboarding_complete,active
USR_1497,2025-02-12 00:00:00,onboarding_start,new
USR_1335,2025-02-16 00:00:00,onboarding_start,churned
USR_1714,2025-02-20 00:00:00,onboarding_start,churned
USR_1469,2025-01-19 00:00:00,onboarding_start,active
USR_1372,2025-02-21 00:00:00,pricing_view,churned
USR_1155,2025-02-04 00:00:00,onboarding_complete,new
USR_1669,2025-01-18 00:00:00,onboarding_complete,churned
USR_1089,2025-03-30 00:00:00,onboarding_complete,new
USR_1107,2025-03-15 00:00:00,payment_success,new
USR_1311,2025-02-11 00:00:00,onboarding_start,churned
USR_1083,2025-03-09 00:00:00,onboarding_start,at-risk
USR_1171,2025-02-14 00:00:00,pricing_view,churned
USR_1117,2025-01-21 00:00:00,feature_usage,active
USR_1520,2025-01-15 00:00:00,pricing_view,active
USR_1636,2025-02-11 00:00:00,feature_usage,active
USR_1153,2025-02-06 00:00:00,onboarding_start,at-risk
USR_1611,2025-03-01 00:00:00,pricing_view,at-risk
USR_1675,2025-03-15 00:00:00,onboarding_complete,active
USR_1686,2025-02-18 00:00:00,pricing_view,at-risk
USR_1630,2025-01-21 00:00:00,onboarding_start,new
USR_1654,2025-02-04 00:00:00,pricing_view,active
USR_1649,2025-03-14 00:00:00,onboarding_complete,active
USR_1253,2025-01-25 00:00:00,feature_usage,new
USR_1596,2025-01-18 00:00:00,onboarding_complete,active
USR_1166,2025-02-10 00:00:00,pricing_view,churned
USR_1699,2025-02-15 00:00:00,onboarding_start,at-risk
USR_1553,2025-02-01 00:00:00,onboarding_start,new
USR_1743,2025-02-05 00:00:00,onboarding_start,active
USR_1069,2025-02-10 00:00:00,pricing_view,active
USR_1641,2025-03-01 00:00:00,payment_success,active
USR_1148,2025-01-08 00:00:00,feature_usage,active
USR_1380,2025-02-27 00:00:00,onboarding_start,active
USR_1726,2025-02-13 00:00:00,pricing_view,active
USR_1353,2025-03-28 00:00:00,onboarding_complete,new
USR_1441,2025-02-05 00:00:00,feature_usage,active
USR_1302,2025-02-24 00:00:00,onboarding_complete,new
USR_1632,2025-02-24 00:00:00,pricing_view,active
USR_1647,2025-03-25 00:00:00,onboarding_complete,active
USR_1278,2025-01-05 00:00:00,pricing_view,at-risk
USR_1320,2025-01-30 00:00:00,onboarding_complete,active
